,Otázka,Správná odpověď,Distraktor 1,Distraktor 2,Distraktor 3,Vysvětlivky a poznámky
Radiokomunikační provoz,Jestliže letadlová stanice není schopna navázat spojení s leteckou stanicí na určeném a jiném kmitočtu pro danou trať,Pokusí se navázat spojení s jiným letadlem nebo jinými leteckými stanicemi,Okamžitě se vrátí na letiště odletu bez dalšího vysílání,Vypne radiostanici a pokračuje v letu podle palubních přístrojů,Aktivuje nouzový signál MAYDAY na všech kmitočtech současně,"Když ti určená věž neodpovídá ani na záložní frekvenci, nesmíš zůstat potichu. Začneš zkoušet kohokoliv v dosahu. Zavoláš jakoukoliv jinou blízkou věž, nebo zkusíš jiné letadlo ve vzduchu na společné frekvenci, aby tvou zprávu řídícímu předalo (tzv. relay)."
Radiokomunikační provoz,Letadlo za letu,Nesmí měnit svou volací značku,Může změnit volací značku po přeletu státní hranice,Mění volací značku při každé změně letové hladiny,Používá libovolnou značku podle uvážení velitele letadla,"Jakmile letadlo vzlétne s jednou volací značkou (např. registrační značkou OK-ABC nebo číslem linky CSA 123), musí si ji nechat po celou dobu letu. Změna značky za letu by způsobila totální chaos na radaru, protože řídící by najednou nevěděli, kdo je kdo. Výjimku může nařídit jen ŘLP (např. kvůli záměně podobných značek)."
Radiokomunikační provoz,Poznávací značka civilního letadla je složena,Ze značky státní příslušnosti a rejstříkové značky,Z výrobního čísla letadla a kódu letecké společnosti,Z čísla letového plánu a zkratky domovského letiště,Z roku výroby letadla a mezinárodního kódu ICAO,"Značka státní příslušnosti určuje zemi (např. OK je Česko, OM Slovensko, D Německo). Rejstříková značka je následující skupina písmen nebo číslic – unikátní kód, pod kterým je konkrétní letadlo zapsané v leteckém rejstříku daného státu."
Radiokomunikační provoz,Volací značku letadla lze tvořit,Radiotelefonním označením provozovatele letadla za kterým následuje označení (číslo) letu v souladu s předpisem ICAO,Jménem kapitána a typem letadla,Typovým označením motoru a kapacitou letadla,Počtem cestujících na palubě a zkratkou cílového letiště,"Místo registrační značky letadla (imatrikulace) se u obchodních letů použije oficiální kód letecké společnosti schválený organizací ICAO a k tomu se přidá konkrétní číslo daného letu (např. CSA 123). Pro řídící je to přehlednější, protože hned vědí, o jakou linku se jedná."
Radiokomunikační provoz,Volací značka letecké stanice je tvořena,"Zeměpisným názvem její polohy a službou, která je k dispozici",Mezinárodním číslem licence a typem antény,Jménem hlavního dispečera a frekvenčním pásmem,Pouze číslem letového sektoru bez zeměpisného názvu,"Zeměpisný název označuje místo, kde se stanice nachází (např. Praha, Brno, Mošnov). Služba vyjadřuje funkci, kterou pro tebe vykonává (např. TOWER/Věž pro řízení vzletů a přistání, RADAR pro přibližování, nebo INFO pro poskytování informací)."
Radiokomunikační provoz,Ve volací značce letecké stanice přibližovacího stanoviště může být název,APPROACH,TOWER,GROUND,CONTROL,"V anglické frazeologii se pro přibližovací stanoviště používá právě výraz APPROACH (v češtině PŘIBLIŽOVÁNÍ). Toto stanoviště tě řídí v širším okolí letiště – navádí letadla z cestovní výšky dolů, řadí je za sebe a předává je na frekvenci věže (Tower) k přistání."
Radiokomunikační provoz,Ve volací značce letecké stanice pro neřízená letiště je název,INFO nebo RADIO,TOWER nebo CONTROL,ARRIVAL nebo DEPARTURE,HOMING nebo BEACON,"Na neřízených letištích (kde není klasický řídící na věži) tě nikdo neřídí, ale dostáváš tam informace o provozu a počasí. RADIO používají stanoviště, která poskytují informace známému provozu na daném letišti (např. „Sazená Radio“). INFO se používá pro letovou informační službu ve větších sektorech (např. „Praha Info“)."
Radiokomunikační provoz,Zkrácenou volací značku použije letadlová stanice,"Pouze v případě, že byla tímto způsobem oslovena leteckou stanicí",Kdykoliv po dosažení cestovní výšky letu,Automaticky po prvních 10 minutách komunikace,"Pokud je kmitočet velmi přetížený, aby se ušetřil čas","Samovolně zkrátit svou značku (např. z OK-ABC na O-BC) nikdy nesmíš. Zkrácenou verzi smíš použít až poté, co tě takto jako první osloví řídící. On tím potvrzuje, že v daném sektoru není žádné jiné letadlo s podobným názvem a nehrozí záměna."
Radiokomunikační provoz,Správné zkrácení volací značky OKABC je,OBC,KABC,OKBC,OABC,"U letadel, která mají jako volací značku svou registraci (imatrikulaci), se zkrácení provádí tak, že se vezme první písmeno a poslední dvě písmena. Značka OK-ABC se tedy správně zkrátí na O-BC (v hláskovací abecedě Oscar Bravo Charlie). Druhé a třetí písmeno se vynechají."
Radiokomunikační provoz,Fráze „vysílám naslepo“ se použije,při neúspěšném navázání spojení,při letu v noci nebo v husté oblačnosti bez radaru,pokud pilot nemá platný průkaz radiotelefonisty,při testování nového typu palubního vysílače,"Fráze „Vysílám naslepo“ (Transmitting blind) se používá, když ti selže přijímač, ale tvůj vysílač pravděpodobně funguje. Ty nikoho neslyšíš, ale oni tebe ano. Odvysíláš zprávu dvakrát za sebou včetně času, polohy, výšky a záměru, aby o tobě měli přehled."
Radiokomunikační provoz,Jestliže letadlová stanice není schopna navázat spojení s leteckou stanicí na určeném kmitočtu,Pokusí se o navázání spojení na jiném kmitočtu pro danou trať,Okamžitě aktivuje tísňový odpovídač 7700,Vypne rádio a pokračuje v letu čistě vizuálně,Vyčká 5 minut a zkusí přesně stejné volání znovu,"Tohle je první logický krok předtím, než začneš volat ostatní letadla nebo zkoušet cizí frekvence. Většina letových sektorů má pro případ výpadku určený záložní (sekundární) kmitočet. Pokud věž neodpovídá na hlavní frekvenci, přeladíš na tento záložní kmitočet a zkusíš to tam."
Radiokomunikační provoz,Všechna čísla se vyslovují,"Jednotlivě, s výjimkou čísel souvisejících s výškou nad hladinou moře, s výškou oblačnosti, dohlednosti a dráhové dohlednosti",Vždy jako celé stovky a tisíce pro zjednokusení komunikace,Po jednotlivých číslicích za všech okolností bez výjimky,V násobcích deseti podle mezinárodního standardu ICAO,V letectví se čísla kvůli srozumitelnosti hláskují po jednotlivých číslicích (např. kurz 150 je „jedna pět nula“). Zmiňované výjimky se ale pro rychlost zaokrouhlují na stovky a tisíce (např. výška 5000 stop se řekne „pět tisíc“ místo pět nula nula nula; dohlednost 8000 metrů se řekne „osm kilometrů“ nebo „osm tisíc“).
Radiokomunikační provoz,Rádiové spojení může být ukončeno,na pokyn letecké stanice,kdykoliv o tom rozhodne velitel letadla,automaticky po opuštění řízeného vzdušného prostoru,pouze po úplném přistání a vypnutí motorů,"O tom, kdy komunikace skončí, rozhoduje letecká stanice (řídící na zemi). Pilot nesmí jen tak přestat poslouchat nebo vypnout rádio. Řídící ti musí ukončení spojení schválit nebo ho sám nařídit (např. slovy „opustěte kmitočet“ nebo ti dá pokyn k přeladění)."
Radiokomunikační provoz,"V radiotelefonním provozu v pásmech VKV se kmitočet 119,000 MHz vyjadřuje",JEDNA JEDNA DEVĚT ČÁRKA NULA,STO DEVATNÁCT MEGAHERTZ,JEDNA JEDNA DEVĚT ČÁRKA NULA NULA NULA,JEDNA DEVĚT ČÁRKA NULA,"V letectví se kmitočty vyjadřují číslicemi jednotlivě a desetinná tečka se v české frazeologii čte jako „ČÁRKA“. Pokud kmitočet končí samými nulami (119,000 MHz), stačí vyslovit pouze první nulu za čárkou a zbytek se pro rychlost odsekne. Proto je správně „JEDNA JEDNA DEVĚT ČÁRKA NULA“."
Radiokomunikační provoz,"V radiotelefonním provozu v pásmech VKV se kmitočet 121,500 MHz vyjadřuje",JEDNA DVA JEDNA ČÁRKA PĚT,STO DVACET JEDNA CELÝCH PĚT,JEDNA DVA JEDNA ČÁRKA PĚT NULA NULA,JEDNA DVA JEDNA PĚT TÍSEŇ,"U kmitočtů zakončených na nuly se koncové nuly vynechávají, takže místo zdlouhavého hláskování všech číslic stačí uvést pouze první číslici za desetinnou čárkou. Kmitočet 121,500 MHz se proto čte zkráceně jako „JEDNA DVA JEDNA ČÁRKA PĚT“ (v angličtině „ONE TWO ONE DECIMAL FIVE“). Jde o mezinárodní nouzový kmitočet."
Radiokomunikační provoz,"V radiotelefonním provozu v pásmech VKV se kmitočet 121,050 MHz vyjadřuje",JEDNA DVA JEDNA ČÁRKA NULA PĚT NULA,JEDNA DVA JEDNA ČÁRKA NULA PĚT,JEDNA DVA JEDNA ČÁRKA PADESÁT,STO DVACET JEDNA ČÁRKA NULA PĚT,"Tento kmitočet se vyjadřuje jako JEDNA DVA JEDNA ČÁRKA NULA PĚT NULA. Protože kmitočet končí nulou, která následuje až za platnými číslicemi (121,050), tato poslední nula se v testových otázkách ČTÚ uvádí celá. Nula hned za čárkou se samozřejmě vyslovit musí, aby nedošlo k záměně s kmitočtem 121,500."
Radiokomunikační provoz,V radiotelefonním provozu v pásmech VKV se vysílací kanál vyjadřuje,Čtyřmi nebo šesti číslicemi,Vždy maximálně třemi číslicemi,Výhradně pěti číslicemi za všech okolností,Libovolným počtem číslic podle typu radiostanice,"V závislosti na kanálové rozteči (25 kHz nebo 8,33 kHz) se frekvence vyjadřuje buď čtyřmi číslicemi (např. 118,1 jako jedna jedna osm čárka jedna) nebo šesti číslicemi (např. 118,005 jako jedna jedna osm čárka nula nula pět)."
Radiokomunikační provoz,"V radiotelefonním provozu v pásmech VKV se kmitočet 118,055 MHz vyjadřuje",JEDNA JEDNA OSUM ČÁRKA NULA PĚT PĚT,STO OSMNÁCT ČÁRKA NULA PADESÁT PĚT,JEDNA JEDNA OSUM ČÁRKA PADESÁT PĚT,JEDNA JEDNA OSUM NULA PĚT PĚT,"U moderního rozestupu kanálů 8,33 kHz se vyjadřuje všech pět nebo šest číslic, pokud je to nutné pro přesnou identifikaci kanálu. Kmitočet 118,055 MHz se v české frazeologii čte jako „JEDNA JEDNA OSUM ČÁRKA NULA PĚT PĚT“ (případně spisovně „OSM“)."
Radiokomunikační provoz,hláskovací abeceda (Národní/Mezinárodní),A - Adam / Alpha /// E - Emil / Echo /// I - Ivan / India,A - Antonín / Alfa /// E - Eduard / Echo /// I - Igor / India,A - Adam / Aeroplane /// E - Emil / Euro /// I - Ivan / Item,A - Alena / Alpha /// E - Eva / Echo /// I - Ivana / India,"Jedná se o standardní mezinárodní a národní hláskovací abecedu používanou pro jednoznačný přenos písmen v radiokomunikačním provozu, aby se předešlo přeslechům a záměnám."
Radiokomunikační provoz,hláskovací abeceda (Národní/Mezinárodní),B - Božena / Bravo /// F - František / Foxtrot /// J - Josef / Juliett,B - Bedřich / Bravo /// F - Filip / Foxtrot /// J - Jan / Juliett,B - Božena / Baker /// F - František / Fox /// J - Josef / John,B - Barbora / Bravo /// F - Ferdinand / Foxtrot /// J - Jiří / Juliett,"Standardní mezinárodní (ICAO) a česká národní hláskovací abeceda pro písmena B, F, J. Pomáhá bezchybně hláskovat imatrikulace letadel a zkratky."
Radiokomunikační provoz,hláskovací abeceda (Národní/Mezinárodní),C - Cyril / Charlie /// G - Gustav / Golf /// K - Karel / Kilo,C - Caesar / Charlie /// G - Gabriel / Golf /// K - Kristián / Kilo,C - Cyril / Charlie /// G - Gustav / George /// K - Karel / King,C - Cecil / Charlie /// G - Gustav / Golf /// K - Kamil / Kilo,"Standardní mezinárodní (ICAO) a česká národní hláskovací abeceda pro písmena C, G, K. Používá se pro jednoznačnou identifikaci v éteru."
Radiokomunikační provoz,hláskovací abeceda (Národní/Mezinárodní),D - David / Delta /// H - Helena / Hotel /// L - Ludvík / Lima,D - Daniel / Delta /// H - Hana / Hotel /// L - Lukáš / Lima,D - David / Delta /// H - Helena / Home /// L - Ludvík / London,D - Dalibor / Delta /// H - Hynek / Hotel /// L - Ladislav / Lima,"Standardní mezinárodní (ICAO) a česká národní hláskovací abeceda pro písmena D, H, L. Klíčové pro správný přenos informací bez šumu."
Radiokomunikační provoz,hláskovací abeceda (Národní/Mezinárodní),M - Marie / Mike /// Q - Quido / Quebec /// U - Urban / Uniform,M - Martin / Mike /// Q - Quido / Queen /// U - Uršula / Uniform,M - Marie / Mother /// Q - Quido / Quebec /// U - Urban / Uncle,M - Miroslav / Mike /// Q - Quentin / Quebec /// U - Unie / Uniform,"Standardní mezinárodní (ICAO) a česká národní hláskovací abeceda pro písmena M, Q, U. Zajišťuje srozumitelnost mezinárodních zkratek a kódů."
Radiokomunikační provoz,hláskovací abeceda (Národní/Mezinárodní),N - Norbert / November /// R - Rudolf / Romeo /// Václav / Victor,N - Nina / November /// R - Richard / Romeo /// V - Vít / Victor,N - Norbert / New York /// R - Rudolf / Roger /// V - Václav / Victory,N - Nataša / November /// R - Roman / Romeo /// V - Vladimír / Victor,"Standardní mezinárodní (ICAO) a česká národní hláskovací abeceda pro písmena N, R, V. Používá se denně při hlášení polohových bodů a imatrikulací."
Radiokomunikační provoz,hláskovací abeceda (Národní/Mezinárodní),O - Otakar / Oscar /// S - Svatopluk / Sierra /// W - dvojité V / Whisky,O - Oto / Oscar /// S - Stanislav / Sierra /// W - dvojité V / William,O - Otakar / Oscar /// S - Svatopluk / Sugar /// W - Walter / Whisky,O - Olga / Oscar /// S - Simon / Sierra /// W - dvojité V / Whisky,"Standardní mezinárodní (ICAO) a česká národní hláskovací abeceda pro písmena O, S, W. Důležité pro mezinárodní koordinaci letů."
Radiokomunikační provoz,hláskovací abeceda (Národní/Mezinárodní),P - Petr / Papa /// T - Tomáš / Tango /// X - Xaver / X-ray,P - Pavel / Papa /// T - Tadeáš / Tango /// X - Xaver / Xylophone,P - Petr / Peter /// T - Tomáš / Tommy /// X - Xaver / X-ray,P - Přemysl / Papa /// T - Tobias / Tango /// X - Xenon / X-ray,"Standardní mezinárodní (ICAO) a česká národní hláskovací abeceda pro písmena P, T, X. Nezbytné pro zvládnutí teoretické zkoušky radiotelefonisty."
Radiokomunikační provoz,hláskovací abeceda (Národní/Mezinárodní),Y - Ypsilon / Yankee /// Z - Zuzana / Zulu,Y - York / Yankee /// Z - Zdeněk / Zulu,Y - Ypsilon / Yellow /// Z - Zuzana / Zero,Y - Yuri / Yankee /// Z - Zachariáš / Zulu,"Standardní mezinárodní (ICAO) a česká národní hláskovací abeceda pro poslední písmena abecedy Y, Z. Kód „Zulu“ se celosvětově používá také pro označení koordinovaného světového času (UTC)."
Radiokomunikační provoz,"Správný Q-kód pro „tlak indikující nadmořskou výšku, přepočtený na střední hladinu moře",QNH,QFE,QNE,QDR,"QNH = Q-code Nautical Height. Když si tento tlak nastavíš na výškoměru na zemi, přístroj ti ukáže skutečnou nadmořskou výšku letiště (nad střední hladinou moře). Po přistání na pláži u moře by ti výškoměr ukazoval přesně nulu."
Radiokomunikační provoz,Správný Q-kód pro „magnetický kurs pro směr k zaměřovači“,QDM,QDR,QTE,QNH,"Pro snazší zapamatování se v letectví používá mnemotechnická pomůcka: QDM = Quick Direct Magnetic (Rychle a přímo k majáku). Jeho opakem je QDR, což je magnetický zaměřený směr od majáku (radiál)."
Radiokomunikační provoz,Správný Q-kód pro „žádost o zaměření“,QDL,QTE,QDM,QDR,"Tady pozor, QDL je chyták v testech ČTÚ. Kód QDL sice historicky souvisí se zaměřováním, ale znamená „sérii zaměření ke stanovení přesné polohy“. Správný Q-kód pro samotnou žádost o zaměření (nebo dotaz na zeměpisný směr od stanice) je QTE."
Radiokomunikační provoz,Správná zkratka pro „vzletová a přistávací dráha“,RWY,TWY,APN,THR,RWY je mezinárodní zkratka pro Runway (vzletovou a přistávací dráhu). Pro pojezdovou dráhu se používá zkratka TWY (Taxiway).
Radiokomunikační provoz,Správná zkratka pro „automatická informační služba koncové řízené oblasti“,ATIS,AFIS,METAR,CTR,"ATIS znamená Automatic Terminal Information Service. Jedná se o nepřetržité automatické vysílání podstatných informací pro přistávající a odlétající letadla na daném letišti (obsahuje počasí, používanou dráhu, tlak vzduchu QNH atd.)."
Radiokomunikační provoz,Správná zkratka pro „letová informační oblast“,FIR,TMA CTR,ATZ,"FIR znamená Flight Information Region (Letová informační oblast). V Česku máme jeden velký FIR Praha, který pokrývá vzdušný prostor nad celou republikou od země až do vysokých letových hladin.",
Radiokomunikační provoz,Správná zkratka pro „kmitočet“,FREQ,KHZ,MHZ,CHAN,FREQ je standardní zkratka z anglického slova Frequency (kmitočet / frekvence). Používá se v mapách a letových příručkách k označení rádiových kmitočtů jednotlivých stanovišť.
Radiokomunikační provoz,Zkušební vysílání musí obsahova,"Volací značku volané stanice, volací značku letadla, slova „ZKOUŠKA RÁDIA“, používaný kmitočet",Pouze volací značku letadla a slova „TEST VYSÍLAČE“,"Volací značku letadla, aktuální čas a polohu letadla","Typ radiostanice, jméno operátora a sériové číslo přístroje","Otázka se opakuje kvůli ověření struktury hlášení: „Ruzyně Věž, OK-ABC, ZKOUŠKA RÁDIA na kmitočtu 118,100.“"
Radiokomunikační provoz,kód QFE se vztahuje k,Tlaku vzduchu vztaženému k nadmořské výšce letiště,Tlaku vzduchu přepočtenému na hladinu moře,"Standardnímu tlaku vzduchu 1013,25 hPa",Teplotě vzduchu na povrchu dráhy,"QFE = Q-code Field Elevation (tlak na letištním poli). Je to skutečný, reálný tlak vzduchu naměřený přímo na daném letišti."
Radiokomunikační provoz,"V případě, že letadlo stojí na ploše letiště a hodnota tlaku je nastavena na QFE, bude výškoměr ukazovat",Nulu,Nadmořskou výšku letiště,Výšku podle standardní atmosféry,Tlak v kilopascalech,"Pokud stojíš na letišti a nastavíš si tlak QFE (tlak na úrovni letiště), výškoměr bude ukazovat nulu (0 ft nebo 0 m). Při nastavení QNH ukazuje nadmořskou výšku letiště."
Radiokomunikační provoz,Odchylky od spisovné češtiny při vysílání čísel jsou,"U číslic: 2, 4, 7, 8","U číslic: 1, 3, 5, 9","U číslic: 0, 4, 6, 8","Žádné odchylky nejsou povoleny, mluví se přísně spisovně","Kvůli dokonalé srozumitelnosti v chrastícím rádiu se záměrně používají tyto upravené tvary: 2 - Dva, 4 - Čtyry, 7 - Sedum, 8 - Osum. Brání to záměně slov (např. sedm a osm zní v šumu velmi podobně)."
Radiokomunikační provoz,Nastavení výškoměru na hodnotu 1000 hPa se vysílá takto:,jeden tisíc,jedna nula nula nula,tisíc hektopascalů,QNH tisíc,1000 hPa se vysílá jako „JEDEN TISÍC“ (v anglické frazeologii „ONE THOUSAND“). Zaokrouhluje se na celé tisíce pro vyšší rychlost a srozumitelnost hlášení.
Radiokomunikační provoz,Nastavení výškoměru na hodnotu 1009 hPa se vysílá takto:,QNH JEDNA NULA NULA DEVĚT,jedna nula nula devět hektopascalů,QNH tisíc devět,jedna nula nula devět,"Tlak 1009 hPa se vyjadřuje po jednotlivých číslicích jako „QNH JEDNA NULA NULA DEVĚT“ (v anglické frazeologii „QNH ONE ZERO ZERO NINER“). U hodnot, které nejsou kulaté tisíce nebo stovky, se čísla hláskují."
Radiokomunikační provoz,Letová hladina FL 300 se vysílá takto:,letová hladina TŘI STA,letová hladina tři nula nula,letová hladina tři sta nula,výška třicet tisíc stop,"FL 300 se vysílá jako „LETÓVÁ HLADINA TŘI STA“ (v anglické frazeologii „FLIGHT LEVEL THREE HUNDRED“). Kulaté stovky letových hladin se čtou jako celé slovo, ne po číslicích."
Radiokomunikační provoz,Letová hladina FL 180 se vysílá takto:,letová hladina JEDEN OSUM NULA,letová hladina sto osmdesát,letová hladina jedna osm nula nula,výška osmnáct tisíc stop,"FL 180 se vysílá po číslicích jako „LETÓVÁ HLADINA JEDNA OSUM NULA“ (v anglické frazeologii „FLIGHT LEVEL ONE EIGHT ZERO“). Jelikož to není kulatá stovka (jako 100, 200, 300), musí se vyhláskovat každá číslice zvlášť s použitím nespisovného „OSUM“."
Radiokomunikační provoz,Potvrzení příjmu leteckou stanicí musí obsahovat,"Volací značku letadla za kterou následuje, je-li to nutné, volací značka letecké stanice",Pouze slovo „POTVRZUJI“,Celé znění původní zprávy bez volací značky,Jméno operátora a aktuální čas potvrzení,"Správná struktura potvrzení od pilota je: Obsah zprávy / instrukce (kterou pilot opakuje – např. stoupání, kurz, povolení ke vzletu) a volací značka letadla na úplném konci relace."
Radiokomunikační provoz,Rádiové spojení může být ukončeno,na pokyn letecké stanice,"v okamžiku, kdy pilot opustí řízenou oblast",po schválení velitelem letadla bez vědomí pozemní stanice,automaticky po 30 minutách bez komunikace,"Otázka se opakuje v databázi ČTÚ. Řídící stanice (tedy ta pozemní letecká stanice – např. Věž, Information, Radar) má hlavní slovo a řídí provoz na frekvenci. Rádiové spojení se ukončuje výhradně na její pokyn."
Radiokomunikační provoz,Volací znak INFORMATION je přiřazen,"letištím, poskytujícím službu AFIS",všem řídícím věžím na mezinárodních letištích,meteorologickým stanicím na zemi,vojenským radarovým střediskům,Volací znak INFORMATION je přiřazen stanicím poskytujícím letovou informační službu (FIC) pro neřízený prostor. Pro letiště poskytující službu AFIS (Airport Flight Information Service) se používá kratší volací znak INFO (např. Benešov Info).
Radiokomunikační provoz,Volací znak INFORMATION je přiřazen,letovým informačním střediskům např. FIC Praha,radiokomunikačním stanicím aeroklubů,palubnímu rozhlasu pro cestující,automatickému vysílání ATIS,Tohle je ta správná odpověď vystihující plný název. Volací znak INFORMATION (oficiálně např. „Praha Information“) patří letovým informačním střediskům (FIC – Flight Information Centre). Tato služba se stará o piloty letící mimo řízené prostory (VFR lety) po celém území státu.
Radiokomunikační provoz,fráze „čekejte“ znamená,"čekejte, zavolám Vás",vypněte vysílač a vyčkejte 5 minut,přelaďte na záložní kmitočet a čekejte,opakujte své poslední volání,"Fráze „Čekejte“ (Standby) znamená, že řídící tě zaregistroval, ale zrovna řeší jinou důležitou situaci nebo hovoří s jiným letadlem. Nesmíš dál mluvit, kmitočet je obsazen a musíš počkat, až tě sám vyveze znova."
Radiokomunikační provoz,fráze „konec“ znamená,rozhovor je ukončen a neočekává se odpověď,"moje vysílání skončilo, očekávám Vaši odpověď",došlo k poruše radiostanice,opouštím vzdušný prostor,"Fráze „Konec“ (Out) se používá na absolutní závěr komunikace, kdy je hovor kompletně vyřízen a druhá strana už na to nemá nijak odpovídat. V běžném leteckém provozu se často nahrazuje pozdravem „slyšenou“ nebo „nashledanou“."
Radiokomunikační provoz,fráze „provedu“ znamená,rozumím Vaší zprávě a budu podle ní postupovat,"zprávu jsem přijal, ale nemohu ji splnit",opakujte příkaz ještě jednou,předávám velení druhému pilotovi,"Fráze „Provedu“ (Wilco - Will Comply) je závazné potvrzení. Říkáš tím: Rozumím tomu, co po mně chceš, a okamžitě to jdu v letadle udělat (např. zatočit do kurzu nebo začít klesat)."
Radiokomunikační provoz,fráze „potvrďte“ znamená,"potvrďte mi, že jste zprávu přijal a rozuměl jí",schvaluji Váš požadovaný úkon,zopakujte celou zprávu od začátku,tísňová situace byla úspěšně vyřešena,"Fráze „Potvrďte“ (Confirm) se používá jako dotaz, když si řídící nebo pilot chce ověřit, zda informace platí nebo zda byla správně pochopena (např. „Potvrďte podvozek vysunut“)."
Radiokomunikační provoz,fráze „příjem“ znamená,"moje vysílání skončilo, očekávám Vaši odpověď",potvrzuji úspěšné přistání na dráze,signál je dokonale čitelný,rozhovor je kompletně ukončen,"Fráze „Příjem“ (Over) dává druhé straně najevo, že jsi domluvil svou větu, pouštíš tlačítko vysílání a teď je řada na ní, aby mluvila. V běžném provozu se dnes už často vynechává, protože konec relace je jasný z kontextu."
Radiokomunikační provoz,fráze „rozumím“ znamená,přijal jsem vše z Vašeho posledního vysílání,provedu Váš příkaz v plném rozsahu,schvaluji Váš letový plán,tvoje vysílání je rušeno šumem,"Fráze „Rozumím“ (Roger) znamená čistě jen to, že jsi fyzicky slyšel a přijal všechna slova z poslední relace. Pozor – neznamená to souhlas ani závazek, že příkaz provedeš (k tomu slouží fráze „Provedu“)."
Radiokomunikační provoz,fráze „schváleno“ znamená,povolení pro požadovaný úkon je schváleno,letadlo může okamžitě vzlétnout,zkouška rádia dopadla úspěšně,letový plán byl zrušen,"Fráze „Schváleno“ (Approved) se používá pro schválení různých nestandardních požadavků pilota, které nejsou přímým letovým povolením (např. schválení nahození motoru, schválení změny frekvence atd.)."
Radiokomunikační provoz,fráze „negativ“ znamená,povolení není potvrzeno – to není správné – ne,signál je nečitelný a plný šumu,klesejte do nižší letové hladiny,opakujte vysílání na záložním kmitočtu,"Fráze „Negativ“ (Negative) je mezinárodní jasné označení záporu. Používá se místo českého krátkého „ne“, které by se mohlo v šumu snadno přeslechnout nebo zaniknout."
Radiokomunikační provoz,fráze „opakujte“ znamená,opakujte vše nebo následující část Vašeho posledního vysílání,opakujte celý let od bodu vzletu,zvyšte výkon svého vysílače,přepněte odpovídač na nouzový kód,"Fráze „Opakujte“ (Say again) se používá, když jsi kvůli rušení nebo rychlé řeči nerozuměl a potřebuješ, aby ti protistrana celou větu (nebo její část) zopakovala."
Radiokomunikační provoz,fráze „správně“ znamená,to je správné,povolení ke vzletu je uděleno,signál dosáhl stupně čitelnosti 5,rozhovor byl úspěšně zaznamenán,"Fráze „Správně“ (Correct) se používá k potvrzení, že druhá strana zopakovala příkaz (read-back) naprosto bezchybně."
Radiokomunikační provoz,fráze „vzlet schválen“,není přípustná,znamená povolení ke vzletu za všech okolností,používá se pouze na neřízených letištích,je vyhrazena pro vojenská proudová letadla,"Jediná fráze, u které chybí slovo „znamená“, protože není přípustná. V letectví se z bezpečnostních důvodů smí pro samotný vzlet použít výhradně fráze „VZLET POVOLEN“ (Take-off cleared), aby nedošlo k záměně s jiným schválením na zemi a letadlo nevletělo pod jiné přistávající letadlo."
Radiokomunikační provoz,"simplexní provoz je způsob provozu rádiové stanice, který","využívá jeden nebo dva kmitočty a umožňuje přenos zpráv střídavě v obou směrech, např. pomocí ručního ovládání, přičemž během vysílání zpráv není možný současný příjem zpráv",umožňuje nepřetržitý přenos zpráv v jednom směru bez možnosti jakékoliv odpovědi druhé strany,vyžaduje automatické digitální šifrování všech odesílaných zpráv prostřednictvím satelitní sítě,zajišťuje současné mluvení i poslech obou stanic na stejném kmitočtu bez jakéhokoliv omezení,"Simplexní provoz je základem letecké komunikace. Klíčové je slovo střídavě: Buď mluvíš (vysíláš), nebo posloucháš (přijímáš). Jakmile zmáčkneš tlačítko vysílání (PTT), tvůj přijímač se odmlčí. Pokud by začal mluvit někdo jiný, navzájem se vymažete a uslyšíte jen pískot."
Radiokomunikační provoz,"duplexní provoz je způsob provozu rádiové stanice, který",umožňuje současný přenos zpráv oběma směry a vyžaduje současné využívání dvou kmitočtů (kanálů).,umožňuje přenos zpráv pouze mezi dvěma pevně stanovenými pozemními body pomocí kabelového vedení,automaticky přepíná kmitočet každých 10 vteřin pro ochranu proti rušení,zakazuje současný příjem zpráv a funguje výhradně přes ruční ovládání tlačítkem PTT,"Duplex funguje jako klasický mobilní telefon. Protože se využívají dva kmitočty současně (jeden pro vysílání a druhý pro příjem), mohou obě strany mluvit i poslouchat ve stejný okamžik. V běžné letecké komunikaci mezi pilotem a věží se ale duplex nepoužívá – tam kraluje simplex."
Radiokomunikační provoz,"Při frázi MEZERA MEZERA pro dvě letadlové stanice, pořadí pro odpovědi volaných stanic je následující:",odpovídá druhá oslovená stanice,odpovídá první oslovená stanice,obě stanice odpovídají současně bez ohledu na pořadí,"ani jedna stanice neodpovídá, hovor je tímto ukončen","Netuším proč, ani AI neví a prej je to v praxi logicky naopak, ale v testech ČTÚ je prostě správná odpověď, že odpovídá druhá oslovená stanice. Chyták, který si musíte zapamatovat čistě pro účely úspěšného složení zkoušky."
Elektrotechnika a radiotechnika,Paralelně řazené akumulátory,Umožňují dodávat větší proud,Zvyšují dodávané celkové napětí,Snižují celkovou kapacitu zdroje,Zamezují přehřívání vodičů,"Představ si paralelní zapojení jako dva lidi, co tlačí auto vedle sebe (paralelně). Napětí (Volty) zůstává stejné, protože oba tlačí stejným směrem. Proud (Ampéry / síla) se ale spojí, takže mají větší sílu (proud) a auto utlačí snáz. U zkoušky si pamatuj: Paralelně = větší proud (větší výdrž / větší síla)."
